umap_x,umap_y
7.6913185,2.7542906
6.16135,-1.1189497
6.0361085,-1.1401625
6.5465517,10.321551
7.482106,5.0709333
5.26325,3.1249757
5.74987,5.0892706
7.799881,10.837394
7.9283757,11.108058
5.911535,11.888903
6.0747514,-7.984768
11.003652,7.5237374
7.684976,-8.153858
7.561144,12.262338
4.9128966,7.4399924
2.831364,4.5510674
6.095133,-7.9871526
7.0712266,6.6632833
6.1138973,3.4935913
-6.242921,5.0387444
7.740926,0.96214134
5.299685,-1.2534052
5.9124756,20.049944
6.7601595,-0.33345243
4.8529043,3.3914456
8.661773,4.1152325
7.3194265,10.721956
7.453237,11.919168
7.7876735,2.7266397
-5.9785337,4.5455923
6.470903,3.6584303
5.659118,12.081448
11.202323,9.205182
10.482077,7.6824126
-6.34747,4.957957
10.088569,2.9072607
9.479073,3.0116897
23.456818,2.2389376
9.11945,2.134112
6.471985,19.66687
5.8462462,2.614741
4.234422,6.900513
12.539537,3.207928
8.947118,3.565966
6.1616178,8.663643
7.952276,4.4673443
8.032574,10.523112
7.897138,2.6092217
9.571696,9.955274
-0.28534567,-4.292982
0.035094656,-3.9762092
18.258717,5.5087414
6.1505265,-8.023813
8.713071,3.7874522
4.7170267,7.3246326
6.8296313,3.3710053
8.1229315,6.0373287
5.621372,9.190724
10.289565,8.004643
6.6099634,7.516271
7.743026,4.1571035
4.463035,6.653187
9.073841,4.954718
6.5220666,0.6482213
8.158175,6.9065056
8.56327,2.7016292
10.926033,8.284281
6.5783496,12.508415
9.0629225,3.0966353
11.296145,9.436215
4.9828143,3.4489655
5.413263,7.9666543
22.4278,2.72561
7.7624574,7.166931
7.4427056,11.854388
2.564053,4.8571477
7.7546887,5.557232
-5.6610465,5.2267246
10.736798,7.6596045
7.4982314,5.059004
8.262971,10.621755
10.881889,7.962151
-6.7756577,5.037869
6.612951,-8.475625
5.9899774,4.010998
7.8264046,0.2278012
9.206717,2.671696
8.517779,7.9992075
7.3861947,10.952168
8.420931,-8.043633
22.696024,2.0662885
11.690185,9.08929
7.2336664,10.841558
-5.580345,4.836523
8.055969,0.55850905
5.3423133,19.772612
5.439507,8.605611
22.1976,1.6173685
8.635961,1.5751624
7.003798,10.526258
5.008218,-1.132984
9.404887,7.673769
7.3446016,-8.4902
11.243338,9.060115
6.2005906,-0.8812423
7.8706727,11.996737
6.6276326,12.580047
8.509215,9.963557
7.7756386,12.186995
9.043873,3.521975
7.43689,-8.539279
7.659115,12.043951
6.0793467,-0.067113355
6.533493,20.577013
6.50987,19.73138
7.35484,10.966279
8.329982,0.8979338
5.104268,-1.1779217
6.0160375,3.4462006
7.1496105,-0.42235664
8.202734,6.925061
8.712761,6.6221066
8.291071,7.77344
8.018243,10.970939
17.455395,3.9980857
8.319706,0.9574892
5.8010917,9.085629
9.060416,3.0572908
6.2571125,-0.9353839
8.389629,1.3434904
6.142863,0.17168915
8.595212,3.018723
6.3741794,-7.8685784
4.7164435,3.477016
6.583909,9.928788
5.394914,5.3823104
6.333043,10.201565
6.3990326,-1.0688077
5.957015,12.06533
10.592014,7.623106
6.2847533,4.2036195
4.3214364,-0.3563749
5.8858094,11.261454
6.9861455,7.430422
7.92185,4.196797
6.9817424,3.5784929
7.0111756,-7.9619536
8.249908,-8.771801
6.8750405,-0.3014754
10.870187,3.5678864
10.275028,9.74669
6.1014595,-7.9848933
7.8859396,-8.760308
7.273866,-0.28533792
8.262247,10.662094
8.692671,5.995915
6.4508495,12.02483
11.785253,3.457405
5.765497,19.94255
4.7411046,19.510843
4.873373,2.9758003
6.0000796,12.147076
9.303671,7.153973
11.214364,8.3402195
6.239972,-1.204686
6.49881,3.9013398
12.140294,7.491556
5.9074106,4.0751486
6.555825,-8.475687
10.41363,8.721104
4.878064,4.357228
10.926641,8.700333
11.245409,8.303316
6.5079055,20.696774
3.7699397,4.020144
